record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,context_completeness_score,uncertainty_class,uncertainty_flags
PMID_41622288_GLM2,PMID_41622288,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",unspecified tea,caffeine,,,caffeine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41621929_GLM1,PMID_41621929,"Evaluation of Antioxidant Activity and Phenolic Content of Medicinal Plants Extracted by Ethanol, Methanol, and Water.",green tea,whole extract,,aqueous extraction; solvent extraction; other extraction,phenolic; flavonoid; extract; extracts,,water extract; methanol extract; extracted; extraction; extract,0.750,low_uncertainty,preclinical_only; uncertain_effect_direction
PMID_41621019_GLM1,PMID_41621019,Enzymatic preparation of epigallocatechin gallate diglucoside and bioactivity assessment.,green tea,catechins,enzymatic treatment,,epigallocatechin gallate; egcg; catechin,enzymatic,,0.800,low_uncertainty,preclinical_only
PMID_41621019_GLM2,PMID_41621019,Enzymatic preparation of epigallocatechin gallate diglucoside and bioactivity assessment.,green tea,catechins,enzymatic treatment,,epigallocatechin gallate; egcg; catechin,enzymatic,,0.800,low_uncertainty,preclinical_only
PMID_41621019_GLM3,PMID_41621019,Enzymatic preparation of epigallocatechin gallate diglucoside and bioactivity assessment.,green tea,catechins,enzymatic treatment,,epigallocatechin gallate; egcg; catechin,enzymatic,,0.800,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41617902_GLM1,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,caffeine; phenolic,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only
PMID_41617902_GLM2,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,caffeine; phenolic,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41612904_GLM1,PMID_41612904,"Phytochemical profile and multi-target biological activities of Sideritis lanata water extract: antioxidant, enzyme inhibition, and anti-inflammatory potential.",unspecified tea,whole extract,,aqueous extraction; other extraction,phenolic; flavonoid; extract; aqueous extract,,water extract; aqueous extract; extract,0.500,moderate_uncertainty,preclinical_only
PMID_41612904_GLM2,PMID_41612904,"Phytochemical profile and multi-target biological activities of Sideritis lanata water extract: antioxidant, enzyme inhibition, and anti-inflammatory potential.",unspecified tea,whole extract,,aqueous extraction; other extraction,phenolic; flavonoid; extract; aqueous extract,,water extract; aqueous extract; extract,0.500,moderate_uncertainty,preclinical_only; uncertain_effect_direction
PMID_41612904_GLM3,PMID_41612904,"Phytochemical profile and multi-target biological activities of Sideritis lanata water extract: antioxidant, enzyme inhibition, and anti-inflammatory potential.",unspecified tea,whole extract,,aqueous extraction; other extraction,phenolic; flavonoid; extract; aqueous extract,,water extract; aqueous extract; extract,0.500,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41607156_GLM1,PMID_41607156,Effect of Epigallocatechin-3-Gallate on Depression-Related Cytokines in Thalassemia Patients: Molecular and Cellular Evaluation.,green tea,catechins,,other extraction,egcg,,extracted,0.750,low_uncertainty,preclinical_only
PMID_41605387_GLM1,PMID_41605387,Pectic polysaccharides from tea residues: Structural characterization and molecular evolution throughout in vitro fecal fermentation.,unspecified tea,tea polysaccharides,fermentation/oxidation,other extraction,polysaccharides; polysaccharide; tea polysaccharides; polyphenols; polyphenol,fermentation,extracted; extraction,0.750,low_uncertainty,preclinical_only
PMID_41599956_GLM1,PMID_41599956,Exploring the Effects of Teas with Different Fermentation Levels and Black Coffee on the Body via the Urine Proteome.,green tea,multiple component groups,fermentation/oxidation,,,fermentation,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only; uncertain_effect_direction
PMID_41599956_GLM2,PMID_41599956,Exploring the Effects of Teas with Different Fermentation Levels and Black Coffee on the Body via the Urine Proteome.,green tea,multiple component groups,fermentation/oxidation,,,fermentation,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41599929_GLM1,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,epigallocatechin gallate; egcg,,,0.300,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_41599929_GLM2,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,epigallocatechin gallate; egcg,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41599419_GLM1,PMID_41599419,"Dose-Dependent Effects of Pear (Pyrus communis L.) Juice on Kombucha Polyphenols, Antioxidant Capacity, and Enzyme Inhibition.",fermented tea,mixed polyphenols,fermentation/oxidation,,polyphenols; phenolic,kombucha; fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41599419_GLM2,PMID_41599419,"Dose-Dependent Effects of Pear (Pyrus communis L.) Juice on Kombucha Polyphenols, Antioxidant Capacity, and Enzyme Inhibition.",fermented tea,mixed polyphenols,fermentation/oxidation,,polyphenols; phenolic,kombucha; fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41599419_GLM3,PMID_41599419,"Dose-Dependent Effects of Pear (Pyrus communis L.) Juice on Kombucha Polyphenols, Antioxidant Capacity, and Enzyme Inhibition.",fermented tea,mixed polyphenols,fermentation/oxidation,,polyphenols; phenolic,kombucha; fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41596333_GLM1,PMID_41596333,Enhanced Effects of Complex Tea Extract and the Postbiotic BPL1(®) HT on Ameliorating the Cardiometabolic Alterations Associated with Metabolic Syndrome in Mice.,unspecified tea,whole extract,,other extraction,tea extract; extract,,extract,0.500,moderate_uncertainty,preclinical_only
PMID_41596333_GLM2,PMID_41596333,Enhanced Effects of Complex Tea Extract and the Postbiotic BPL1(®) HT on Ameliorating the Cardiometabolic Alterations Associated with Metabolic Syndrome in Mice.,unspecified tea,whole extract,,other extraction,tea extract; extract,,extract,0.500,moderate_uncertainty,preclinical_only
PMID_41587797_GLM1,PMID_41587797,"Dietary Antioxidants, Polyphenols, and Vascular Health: Insights From Ultrasound Measurement of Carotid Intima-Media Thickness and Their Association With Cognitive Function in Aging and Neurodegenerative Diseases.",unspecified tea,catechins,,,epigallocatechin gallate; catechins; polyphenols,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record
PMID_41587797_GLM2,PMID_41587797,"Dietary Antioxidants, Polyphenols, and Vascular Health: Insights From Ultrasound Measurement of Carotid Intima-Media Thickness and Their Association With Cognitive Function in Aging and Neurodegenerative Diseases.",unspecified tea,catechins,,,epigallocatechin gallate; catechins; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41581373_GLM1,PMID_41581373,CRISPR-based chemogenomic profiling reveals redox vulnerabilities to epigallocatechin-3-gallate and green tea polyphenol extract.,green tea,catechins,,other extraction,egcg; polyphenol; polyphenols; extract; green tea extract,,extract,0.750,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41581373_GLM2,PMID_41581373,CRISPR-based chemogenomic profiling reveals redox vulnerabilities to epigallocatechin-3-gallate and green tea polyphenol extract.,green tea,catechins,,other extraction,egcg; polyphenol; polyphenols; extract; green tea extract,,extract,0.750,moderate_uncertainty,low_llm_confidence; preclinical_only
PMID_41577286_GLM1,PMID_41577286,Study of polyphenol-pea protein isolate nanofiber interactions: Conformational changes and emulsification stability mechanisms.,unspecified tea,mixed polyphenols,,,polyphenol; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41572086_GLM1,PMID_41572086,"An integrated in-vitro, transcriptomic, and in-silico approach to understand the molecular mechanism of quorum-sensing inhibition by Epigallocatechin-3-gallate (EGCG) in Chromobacterium violaceum.",green tea,tea polysaccharides,,,egcg; tea polysaccharides,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41564650_GLM1,PMID_41564650,Biomimetic pore-throat engineered ultrahigh molecular weight polyethylene with sustained tea polyphenol release for infection-resistant joint implant material.,unspecified tea,catechins,,,epigallocatechin gallate; egcg; polyphenol; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41564650_GLM2,PMID_41564650,Biomimetic pore-throat engineered ultrahigh molecular weight polyethylene with sustained tea polyphenol release for infection-resistant joint implant material.,unspecified tea,catechins,,,epigallocatechin gallate; egcg; polyphenol; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41560832_GLM1,PMID_41560832,Treating acute respiratory distress syndrome with a multifaceted nanomedicine: Inhibition of PANoptosis and enhancement of lung barrier integrity.,unspecified tea,mixed polyphenols,,,polyphenol; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41559215_GLM1,PMID_41559215,In vitro release kinetics and in vivo plasma exposure of green tea polyphenols and caffeine from iron oxide chitosan nanoparticles.,green tea,theaflavins,,,epicatechin; epigallocatechin gallate; egcg; catechin; theaflavin; caffeine; polyphenols,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41554089_GLM1,PMID_41554089,Green-synthesized silver-alginate-ciprofloxacin hydrogel: A multifaceted therapeutic for enhanced diabetic and burn Wound healing.,green tea,whole extract,,other extraction,green tea extract; extract,,extract,0.750,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41554089_GLM3,PMID_41554089,Green-synthesized silver-alginate-ciprofloxacin hydrogel: A multifaceted therapeutic for enhanced diabetic and burn Wound healing.,green tea,whole extract,,other extraction,green tea extract; extract,,extract,0.750,high_uncertainty,generic_mechanism; low_llm_confidence; preclinical_only; uncertain_effect_direction
PMID_41548613_GLM1,PMID_41548613,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41548613_GLM2,PMID_41548613,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41548598_GLM1,PMID_41548598,"Interactions between genetic predisposition to obesity, insulin resistance and type 2 diabetes risk, and food or beverage intake for incident type 2 diabetes: European Prospective Investigation into Cancer and Nutrition (EPIC) InterAct case-cohort study.",unspecified tea,multiple component groups,fermentation/oxidation,,,fermented,,0.550,moderate_uncertainty,generic_mechanism; uncertain_effect_direction
PMID_41547013_GLM1,PMID_41547013,Differences and correlations between chiral amino acid contents and microbiota in different processing stages of Keemun black tea.,black tea,theanine,fermentation/oxidation,,l-theanine; theanine,fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41547013_GLM2,PMID_41547013,Differences and correlations between chiral amino acid contents and microbiota in different processing stages of Keemun black tea.,black tea,theanine,fermentation/oxidation,,l-theanine; theanine,fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41544875_GLM1,PMID_41544875,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,unspecified tea,tea polysaccharides,,,tea polysaccharide; tea polysaccharides,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41544875_GLM2,PMID_41544875,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,unspecified tea,tea polysaccharides,,,tea polysaccharide; tea polysaccharides,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction
PMID_41544473_GLM1,PMID_41544473,Spray-dried soy protein/tamarind seed polysaccharide/tea polyphenol ternary complexes with enzymatic and natural crosslinking enhance probiotic viability.,unspecified tea,tea polysaccharides,storage/aging; enzymatic treatment,,polysaccharide; tea polysaccharides; polyphenol,storage; enzymatic,,0.550,moderate_uncertainty,preclinical_only
PMID_41534752_GLM1,PMID_41534752,"Alleviation of adverse effects associated with α-glucosidase inhibitors by Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. reveals novel selective inhibition of Bacillus α-glucosidase by acarbose.",unspecified tea,catechins,fermentation/oxidation,,epicatechin; catechins; extracts,fermentation,,0.550,moderate_uncertainty,preclinical_only
PMID_41534752_GLM2,PMID_41534752,"Alleviation of adverse effects associated with α-glucosidase inhibitors by Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. reveals novel selective inhibition of Bacillus α-glucosidase by acarbose.",unspecified tea,catechins,fermentation/oxidation,,epicatechin; catechins; extracts,fermentation,,0.550,moderate_uncertainty,preclinical_only
PMID_41519326_GLM1,PMID_41519326,Multifunctional hydrogel based on oxidized sodium alginate and carboxymethyl chitosan delivers minoxidil loaded liposomes for the treatment of androgenetic alopecia.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41519326_GLM2,PMID_41519326,Multifunctional hydrogel based on oxidized sodium alginate and carboxymethyl chitosan delivers minoxidil loaded liposomes for the treatment of androgenetic alopecia.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41515260_GLM1,PMID_41515260,Effects of Green Tea Extract Supplementation on Inflammatory Cytokines Among Postmenopausal Women with Overweight or Obesity-A Secondary Analysis of a Randomized Controlled Trial.,green tea,catechins,,other extraction,epigallocatechin gallate; egcg; green tea extract,,extract,0.750,low_uncertainty,uncertain_effect_direction
PMID_41515260_GLM2,PMID_41515260,Effects of Green Tea Extract Supplementation on Inflammatory Cytokines Among Postmenopausal Women with Overweight or Obesity-A Secondary Analysis of a Randomized Controlled Trial.,green tea,catechins,,other extraction,epigallocatechin gallate; egcg; green tea extract,,extract,0.750,moderate_uncertainty,generic_mechanism; uncertain_effect_direction
PMID_41515258_GLM1,PMID_41515258,The Role of Lifestyle and Diet in the Treatment of Endometriosis: A Review.,green tea,mixed polyphenols,,,polyphenols,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record
PMID_41496404_GLM1,PMID_41496404,Multiscale mechanistic insights into sonochemical energy coupling and flavor evolution in Pu‑erh tea.,unspecified tea,catechins,fermentation/oxidation; storage/aging,aqueous extraction,catechins; polyphenols,fermentation; fermented; aged tea,infusion,0.750,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41490780_GLM1,PMID_41490780,A Real-Life Digital Intervention for Personalized Nutrition in Adults With Overweight or Obesity: Remote Randomized Controlled Trial.,unspecified tea,multiple component groups,,,,,,0.300,high_uncertainty,generic_mechanism; low_llm_confidence; missing_processing_or_extraction_context
PMID_41483799_GLM1,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41483799_GLM2,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41483799_GLM3,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41475763_GLM1,PMID_41475763,Structural characterization and lipid-modulating effects of an inulin-type fructan from Bacillus amyloliquefaciens D189: Unraveling the microbiota-gut-liver axis.,unspecified tea,tea polysaccharides,fermentation/oxidation,,polysaccharides; tea polysaccharides,fermentation,,0.550,moderate_uncertainty,preclinical_only
PMID_41475763_GLM2,PMID_41475763,Structural characterization and lipid-modulating effects of an inulin-type fructan from Bacillus amyloliquefaciens D189: Unraveling the microbiota-gut-liver axis.,unspecified tea,tea polysaccharides,fermentation/oxidation,,polysaccharides; tea polysaccharides,fermentation,,0.550,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41474664_GLM1,PMID_41474664,Phytochemicals as Emerging Antiproliferative Agents in Head and Neck Cancer: Molecular Mechanisms and Therapeutic Strategies.,unspecified tea,mixed polyphenols,,,flavonoids; polyphenols; extracts,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41449627_GLM1,PMID_41449627,Impact of storage temperature on green tea quality: an assessment based on compositional changes.,green tea,theanine,storage/aging,,catechin; egcg; ecg; theanine,storage; stored,,0.800,low_uncertainty,preclinical_only; uncertain_effect_direction
PMID_41431168_GLM1,PMID_41431168,"Unravelling the Mechanisms of Tea Against NAFLD: An Integration of Bibliometrics, Network Pharmacology, and the Gut-Liver Axis.",yellow tea,theanine,,,egcg; theanine; caffeine; tea polysaccharides; polysaccharides; polyphenols; phenolic,,,0.550,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
PMID_41431168_GLM2,PMID_41431168,"Unravelling the Mechanisms of Tea Against NAFLD: An Integration of Bibliometrics, Network Pharmacology, and the Gut-Liver Axis.",yellow tea,theanine,,,egcg; theanine; caffeine; tea polysaccharides; polysaccharides; polyphenols; phenolic,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41384531_GLM1,PMID_41384531,In vitro simulated digestion and fermentation of Lithocarpus litseifolius [Hance] Chun green tea polysaccharides and their modulation of the gut microbiota.,green tea,tea polysaccharides,fermentation/oxidation,,tea polysaccharides; polysaccharides,fermentation,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only
PMID_41384531_GLM2,PMID_41384531,In vitro simulated digestion and fermentation of Lithocarpus litseifolius [Hance] Chun green tea polysaccharides and their modulation of the gut microbiota.,green tea,tea polysaccharides,fermentation/oxidation,,tea polysaccharides; polysaccharides,fermentation,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only
PMID_41384531_GLM3,PMID_41384531,In vitro simulated digestion and fermentation of Lithocarpus litseifolius [Hance] Chun green tea polysaccharides and their modulation of the gut microbiota.,green tea,tea polysaccharides,fermentation/oxidation,,tea polysaccharides; polysaccharides,fermentation,,0.800,low_uncertainty,missing_named_microbiota; preclinical_only
PMID_41353598_GLM1,PMID_41353598,Advances in Supportive Therapy for Patients With Thalassemia: A Systematic Review.,green tea,multiple component groups,,,,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41343461_GLM1,PMID_41343461,Formulation optimization and biodistribution of epigallocatechin gallate phospholipid complex-loaded NLCs for rheumatoid arthritis treatment.,green tea,catechins,,,epigallocatechin gallate; egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41343461_GLM2,PMID_41343461,Formulation optimization and biodistribution of epigallocatechin gallate phospholipid complex-loaded NLCs for rheumatoid arthritis treatment.,green tea,catechins,,,epigallocatechin gallate; egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41314057_GLM2,PMID_41314057,Associations of Individual Beverage Types and Substitution with Dementia Risk: A UK Biobank Cohort Study.,unspecified tea,multiple component groups,,,,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context
PMID_41308222_GLM1,PMID_41308222,Green and roasted coffee as novel substrates for kombucha fermentation: Modulation of bioactivity and phenolic profile.,fermented tea,mixed polyphenols,fermentation/oxidation; roasting,,phenolic,kombucha; fermentation; scoby; roasted,,0.800,low_uncertainty,preclinical_only
PMID_41308222_GLM2,PMID_41308222,Green and roasted coffee as novel substrates for kombucha fermentation: Modulation of bioactivity and phenolic profile.,fermented tea,mixed polyphenols,fermentation/oxidation; roasting,,phenolic,kombucha; fermentation; scoby; roasted,,0.800,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41308222_GLM3,PMID_41308222,Green and roasted coffee as novel substrates for kombucha fermentation: Modulation of bioactivity and phenolic profile.,fermented tea,mixed polyphenols,fermentation/oxidation; roasting,,phenolic,kombucha; fermentation; scoby; roasted,,0.800,low_uncertainty,preclinical_only
PMID_41290504_GLM1,PMID_41290504,Plant-derived immunomodulators in cancer: Balancing immune activation and suppression within the tumor microenvironment.,green tea,catechins,,,epigallocatechin gallate; egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41284344_GLM1,PMID_41284344,Myeloid Cell-Specific Knockout of 67-kDa Laminin Receptor Abolishes the Antifibrotic and Antiobesity Effects of Green Tea Polyphenol EGCG.,green tea,catechins,,,egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41284344_GLM2,PMID_41284344,Myeloid Cell-Specific Knockout of 67-kDa Laminin Receptor Abolishes the Antifibrotic and Antiobesity Effects of Green Tea Polyphenol EGCG.,green tea,catechins,,,egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41220294_GLM1,PMID_41220294,Tailoring Injectable Chitosan-Cellulose Quaternary Hydrogels Through Room-Temperature Diels-Alder for Accelerating Wound Healing.,green tea,tea polysaccharides,,,epigallocatechin gallate; egcg; polysaccharides; tea polysaccharides,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41195861_GLM1,PMID_41195861,Microfluidics-Inspired Microgels with Intrinsic Bioactivity for Advanced Burn Wound Therapy.,unspecified tea,mixed polyphenols,,,polyphenol; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41195861_GLM2,PMID_41195861,Microfluidics-Inspired Microgels with Intrinsic Bioactivity for Advanced Burn Wound Therapy.,unspecified tea,mixed polyphenols,,,polyphenol; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41161636_GLM1,PMID_41161636,Antiviral activity of curcumin against Israeli acute paralysis virus in Apis mellifera: Screening and mechanistic study.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41046082_GLM1,PMID_41046082,"Ilex cornuta: A review of botany, quality control, phytochemistry, and multimodal pharmacological actions.",unspecified tea,volatile compounds; mixed polyphenols,drying,,volatile compounds; flavonoids,dried leaves,,0.550,moderate_uncertainty,review_summary_record; uncertain_effect_direction
PMID_41045993_GLM1,PMID_41045993,Role of the global regulatory factor VeA in Cordyceps militaris and its overexpression combined with tea polyphenols to enhance cordycepin production.,unspecified tea,mixed polyphenols,fermentation/oxidation,,polyphenols,fermentation,,0.550,moderate_uncertainty,preclinical_only
PMID_40836822_GLM1,PMID_40836822,"Dietary factors in Helicobacter pylori infection control: A review of in vitro and in vivo data, including case-controls.",green tea,multiple component groups,,,,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_40836822_GLM3,PMID_40836822,"Dietary factors in Helicobacter pylori infection control: A review of in vitro and in vivo data, including case-controls.",green tea,multiple component groups,,,,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_40784131_GLM1,PMID_40784131,Natural lignocellulose fibers-based bio-dressing for accelerated wound healing and machine learning-assisted smart multimodal sensing.,unspecified tea,mixed polyphenols,,,polyphenols; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_40784131_GLM2,PMID_40784131,Natural lignocellulose fibers-based bio-dressing for accelerated wound healing and machine learning-assisted smart multimodal sensing.,unspecified tea,mixed polyphenols,,,polyphenols; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_40684409_GLM1,PMID_40684409,Harnessing the synergistic potential of EGCG and camptothecin against skin melanoma: a computational and experimental approach.,green tea,catechins,,,egcg; epigallocatechin gallate; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_40169473_GLM1,PMID_40169473,Tea Polyphenols and Compound Probiotics Promote Laying Performance and Egg Quality by Improving Intestinal Barrier Function and Immunity in Laying Hens.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_40169473_GLM2,PMID_40169473,Tea Polyphenols and Compound Probiotics Promote Laying Performance and Egg Quality by Improving Intestinal Barrier Function and Immunity in Laying Hens.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
PMID_40169473_GLM3,PMID_40169473,Tea Polyphenols and Compound Probiotics Promote Laying Performance and Egg Quality by Improving Intestinal Barrier Function and Immunity in Laying Hens.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
PMID_41656465_GLM1,PMID_41656465,Antiviral Activity of Plant-Based Preparations against SARS-CoV-2 and Herpes Simplex Virus Type 2 In Vitro: A Review of Experimental Findings.,green tea,mixed polyphenols,fermentation/oxidation,aqueous extraction; other extraction,polyphenols; extracts; aqueous extract,fermented,aqueous extract; extract,1.000,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41608512_GLM1,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,epigallocatechin gallate; catechins; egcg,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41608512_GLM2,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,epigallocatechin gallate; catechins; egcg,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41608512_GLM3,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,epigallocatechin gallate; catechins; egcg,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record
PMID_41596095_GLM1,PMID_41596095,High-Altitude Hypoxia Injury: Systemic Mechanisms and Intervention Strategies on Immune and Inflammatory Responses.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,high_uncertainty,low_llm_confidence; missing_processing_or_extraction_context; review_summary_record
PMID_41594549_GLM1,PMID_41594549,Advances in Bioactive Compounds from Plants and Their Applications in Alzheimer's Disease.,unspecified tea,catechins,,,catechins,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
