record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes,title,abstract,journal,year,source_is_auto_only,silver_tea_type,silver_material_form,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,schema_validation_flags,uncertainty_flags,record_specificity_score,mechanism_specificity_score,context_completeness_score,silver_confidence_score,uncertainty_class,raw_silver_processing_step,raw_silver_extraction_method
PMID_40871693_GLM2,PMID_40871693,unspecified tea,tea extract,whole extract,,other,blood glucose reduction,animal study,preclinical_in_vivo,mouse model,,positive,,,,,promotion of hepatic glycogen synthesis,,,Type 2 diabetes attenuation,"LBTE effectively reduced blood glucose levels and improved lipid metabolism, primarily by promoting hepatic glycogen synthesis and suppressing glycerophospholipid synthesis.",0.92,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liubao Tea Extract Attenuates High-Fat Diet and Streptozotocin-Induced Type 2 Diabetes in Mice by Remodeling Hepatic Metabolism and Gut Microbiota.,"Background: Type 2 diabetes (T2D) has become a serious global public health concern. Liubao tea (LBT) has demonstrated beneficial effects on gut microbiota and glucose-lipid metabolism, holding promising therapeutic potential for T2D; however, its underlying mechanisms remain unclear. This study aims to elucidate the potential mechanisms of Liubao tea extract (LBTE) against T2D. Methods: LC-MS technology was used to identify the chemical components of LBTE and combined with network pharmacology and molecular docking to screen its potential active ingredients and targets for improving T2D. Therapeutic efficacy was assessed in high-fat diet/streptozotocin (HFD/STZ)-induced diabetic mice via serum biochemical analyses and histopathological examinations. Serum metabolomics, 16S rRNA sequencing, quantification of short-chain fatty acids (SCFAs), quantitative real-time PCR (qPCR), and antibiotic-treated pseudo-germ-free models were employed to elucidate the underlying mechanisms. Results: LBTE effectively reduced blood glucose levels and improved lipid metabolism, primarily by promoting hepatic glycogen synthesis and suppressing glycerophospholipid synthesis. LBTE also alleviated hepatic inflammation by modulating inflammatory cytokine expression. Additionally, LBTE reshaped the gut microbiota profiles by decreasing harmful bacteria and increasing SCFA-producing bacteria, resulting in elevated fecal SCFAs. SCFAs contributed to improving hepatic metabolism and inflammation, enhancing intestinal barrier function. Notably, these effects were abolished by antibiotic-induced microbiota depletion, confirming the microbiota-dependent mechanism of LBTE. Quercetin, luteolin, genistein, and kaempferol were considered as potential active ingredients contributing to the antidiabetic effects of LBTE. Conclusions: These findings provide novel perspectives on the viability of LBTE as a complementary strategy for T2D prevention and management.",Nutrients,2025,true,unspecified tea,tea extract,whole extract,,other extraction,tea extract; extract,,extract,,preclinical_only; taxonomy_expansion_needed,0.512,0.550,0.500,0.734,moderate_uncertainty,,other extraction
PMID_40870767_GLM1,PMID_40870767,dark tea,tea extract,whole extract,,gut microbiota modulation,gut microbiota composition,animal study,preclinical_in_vivo,mouse model,,unclear,,,,,enrichment of specific taxa,"Monoglobaceae, Eggerthellaceae, Desulfovibrionaceae",,,"LPTE reshaped gut microbiota by enriching key families such as Monoglobaceae, Eggerthellaceae, and Desulfovibrionaceae",0.95,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liupao Tea Extract Alleviates Rheumatoid Arthritis in Mice by Regulating the Gut-Joint Axis Mediated via Fatty Acid Metabolism.,"As a highly disabling chronic inflammatory disease, rheumatoid arthritis (RA) necessitates novel interventions. Liupao tea is a traditional Chinese dark tea known for its favorable anti-inflammatory properties. This study aims to elucidate the active ingredients and action mechanisms underlying the therapeutic effects of Liupao tea extract (LPTE) in RA. LPTE was preliminarily characterized by LC-MS technology. Network pharmacology and molecular docking predicted anti-RA compounds, targets, and pathways, with key compounds identified using chemical standards. The effect of LPTE on the collagen-induced arthritis mouse model was evaluated through serum biochemical analysis, micro-CT imaging, and histopathological analyses. Integrated serum metabolomics, 16S rRNA sequencing, MetOrigin analysis, SCFA metabolomics, and quantitative real-time PCR elucidated gut-joint axis mechanisms. LPTE effectively attenuated RA symptoms by reducing bone destruction and joint inflammation. Notably, LPTE reshaped gut microbiota by enriching key families such as Monoglobaceae, Eggerthellaceae, and Desulfovibrionaceae, thereby promoting SCFA production. Increased SCFA levels enhanced intestinal barrier integrity and exerted joint-protective and anti-inflammatory effects by upregulating tight junction proteins and activating SCFA receptors. LPTE also modulated arachidonic acid metabolism by affecting key genes such as Alox5, Ptgs2, and Cbr1. These effects collectively reduced the levels of pro-inflammatory cytokines and increased the expression of anti-inflammatory cytokines in joints. Additionally, quercetin, luteolin, ellagic acid, and kaempferol were identified as major anti-RA bioactive compounds in LPTE. Taken together, this study provides preliminary evidence that LPTE mitigates RA by regulating the gut-joint axis mediated via fatty acid metabolism.","Foods (Basel, Switzerland)",2025,true,dark tea,tea extract,whole extract,storage/aging,other extraction,tea extract; extract,liupao tea,extract,,preclinical_only; uncertain_effect_direction,0.812,0.750,1.000,0.925,low_uncertainty,storage/aging,other extraction
PMID_40870767_GLM2,PMID_40870767,dark tea,tea extract,whole extract,,gut microbiota modulation,SCFA production,animal study,preclinical_in_vivo,mouse model,,positive,,,,,microbial metabolite increase,,short-chain fatty acids (SCFAs),intestinal barrier integrity,thereby promoting SCFA production. Increased SCFA levels enhanced intestinal barrier integrity,0.95,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liupao Tea Extract Alleviates Rheumatoid Arthritis in Mice by Regulating the Gut-Joint Axis Mediated via Fatty Acid Metabolism.,"As a highly disabling chronic inflammatory disease, rheumatoid arthritis (RA) necessitates novel interventions. Liupao tea is a traditional Chinese dark tea known for its favorable anti-inflammatory properties. This study aims to elucidate the active ingredients and action mechanisms underlying the therapeutic effects of Liupao tea extract (LPTE) in RA. LPTE was preliminarily characterized by LC-MS technology. Network pharmacology and molecular docking predicted anti-RA compounds, targets, and pathways, with key compounds identified using chemical standards. The effect of LPTE on the collagen-induced arthritis mouse model was evaluated through serum biochemical analysis, micro-CT imaging, and histopathological analyses. Integrated serum metabolomics, 16S rRNA sequencing, MetOrigin analysis, SCFA metabolomics, and quantitative real-time PCR elucidated gut-joint axis mechanisms. LPTE effectively attenuated RA symptoms by reducing bone destruction and joint inflammation. Notably, LPTE reshaped gut microbiota by enriching key families such as Monoglobaceae, Eggerthellaceae, and Desulfovibrionaceae, thereby promoting SCFA production. Increased SCFA levels enhanced intestinal barrier integrity and exerted joint-protective and anti-inflammatory effects by upregulating tight junction proteins and activating SCFA receptors. LPTE also modulated arachidonic acid metabolism by affecting key genes such as Alox5, Ptgs2, and Cbr1. These effects collectively reduced the levels of pro-inflammatory cytokines and increased the expression of anti-inflammatory cytokines in joints. Additionally, quercetin, luteolin, ellagic acid, and kaempferol were identified as major anti-RA bioactive compounds in LPTE. Taken together, this study provides preliminary evidence that LPTE mitigates RA by regulating the gut-joint axis mediated via fatty acid metabolism.","Foods (Basel, Switzerland)",2025,true,dark tea,tea extract,whole extract,storage/aging,other extraction,tea extract; extract,liupao tea,extract,,missing_named_microbiota; preclinical_only,0.812,0.750,1.000,0.925,low_uncertainty,storage/aging,other extraction
PMID_40870767_GLM3,PMID_40870767,dark tea,tea extract,whole extract,,anti-inflammatory,rheumatoid arthritis symptoms,animal study,preclinical_in_vivo,mouse model,,unclear,,,,,modulation of arachidonic acid metabolism,,,reduced bone destruction and joint inflammation,LPTE effectively attenuated RA symptoms by reducing bone destruction and joint inflammation... LPTE also modulated arachidonic acid metabolism,0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Liupao Tea Extract Alleviates Rheumatoid Arthritis in Mice by Regulating the Gut-Joint Axis Mediated via Fatty Acid Metabolism.,"As a highly disabling chronic inflammatory disease, rheumatoid arthritis (RA) necessitates novel interventions. Liupao tea is a traditional Chinese dark tea known for its favorable anti-inflammatory properties. This study aims to elucidate the active ingredients and action mechanisms underlying the therapeutic effects of Liupao tea extract (LPTE) in RA. LPTE was preliminarily characterized by LC-MS technology. Network pharmacology and molecular docking predicted anti-RA compounds, targets, and pathways, with key compounds identified using chemical standards. The effect of LPTE on the collagen-induced arthritis mouse model was evaluated through serum biochemical analysis, micro-CT imaging, and histopathological analyses. Integrated serum metabolomics, 16S rRNA sequencing, MetOrigin analysis, SCFA metabolomics, and quantitative real-time PCR elucidated gut-joint axis mechanisms. LPTE effectively attenuated RA symptoms by reducing bone destruction and joint inflammation. Notably, LPTE reshaped gut microbiota by enriching key families such as Monoglobaceae, Eggerthellaceae, and Desulfovibrionaceae, thereby promoting SCFA production. Increased SCFA levels enhanced intestinal barrier integrity and exerted joint-protective and anti-inflammatory effects by upregulating tight junction proteins and activating SCFA receptors. LPTE also modulated arachidonic acid metabolism by affecting key genes such as Alox5, Ptgs2, and Cbr1. These effects collectively reduced the levels of pro-inflammatory cytokines and increased the expression of anti-inflammatory cytokines in joints. Additionally, quercetin, luteolin, ellagic acid, and kaempferol were identified as major anti-RA bioactive compounds in LPTE. Taken together, this study provides preliminary evidence that LPTE mitigates RA by regulating the gut-joint axis mediated via fatty acid metabolism.","Foods (Basel, Switzerland)",2025,true,dark tea,tea extract,whole extract,storage/aging,other extraction,tea extract; extract,liupao tea,extract,,preclinical_only; uncertain_effect_direction,0.762,0.550,1.000,0.885,low_uncertainty,storage/aging,other extraction
PMID_40869245_GLM1,PMID_40869245,green tea,purified component,theaflavins,theaflavins; thearubigins; epigallocatechin gallate,antioxidant,oxidative stress,systematic review,evidence_synthesis_nonquantitative,in vitro,,positive,,,,,antioxidant activity of polyphenols,,,oxidative stress phenotype,This manuscript provides a summary of the current knowledge on the properties of TFs and TRs and their effect against oxidative stress caused by heavy metals in in vitro studies.,0.90,glm5_nvidia,llm_title_abstract_annotated,Focuses on theaflavins and thearubigins.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,The Antioxidant Potential of Black Tea Polyphenols in Heavy Metal Toxicity: An In Vitro Perspective.,"Black tea is one of the most widely consumed beverages in the world, second only to water. Its properties are primarily due to the presence of polyphenols, which are associated with various effects, including antioxidant, anticancer, antiviral, and anti-inflammatory activities. These compounds include, among others, theaflavins (TFs) and thearubigins (TRs). The available literature provides numerous reports confirming the positive properties of these compounds. However, it is important to highlight their potential protective effects against oxidative stress induced by heavy metals. This is an important topic, given the ongoing exposure to such pollutants-resulting mainly from industrial development, among other factors. This manuscript provides a summary of the current knowledge on the properties of TFs and TRs and their effect against oxidative stress caused by heavy metals in in vitro studies. The limited amount of research in this area shows that this is still a poorly researched topic. Comparing the results obtained for epigallocatechin gallate (EGCG) from green tea, which has a similar structure to TFs and TRs suggests that they may exhibit similar or even enhanced antioxidant properties. Considering that black tea is consumed much more frequently than green tea worldwide, it is understandable that the antioxidant potential of these two compounds on cells needs to be investigated.",International journal of molecular sciences,2025,true,black tea,purified component,theaflavins,,,Black tea; polyphenols; theaflavins; thearubigins; EGCG,Black tea; polyphenols; theaflavins; thearubigins; EGCG,Black tea; polyphenols; theaflavins; thearubigins; EGCG,,missing_processing_or_extraction_context; review_summary_record,0.650,0.550,0.550,0.768,moderate_uncertainty,,
PMID_40869245_GLM2,PMID_40869245,green tea,purified component,theaflavins,theaflavins; thearubigins; epigallocatechin gallate,anti-inflammatory,inflammation,systematic review,evidence_synthesis_nonquantitative,in vitro,,unclear,,,,,,,,,"Its properties are primarily due to the presence of polyphenols, which are associated with various effects, including antioxidant, anticancer, antiviral, and anti-inflammatory activities.",0.70,glm5_nvidia,llm_title_abstract_annotated,General statement of association; no specific anti-inflammatory mechanism extracted from abstract.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,The Antioxidant Potential of Black Tea Polyphenols in Heavy Metal Toxicity: An In Vitro Perspective.,"Black tea is one of the most widely consumed beverages in the world, second only to water. Its properties are primarily due to the presence of polyphenols, which are associated with various effects, including antioxidant, anticancer, antiviral, and anti-inflammatory activities. These compounds include, among others, theaflavins (TFs) and thearubigins (TRs). The available literature provides numerous reports confirming the positive properties of these compounds. However, it is important to highlight their potential protective effects against oxidative stress induced by heavy metals. This is an important topic, given the ongoing exposure to such pollutants-resulting mainly from industrial development, among other factors. This manuscript provides a summary of the current knowledge on the properties of TFs and TRs and their effect against oxidative stress caused by heavy metals in in vitro studies. The limited amount of research in this area shows that this is still a poorly researched topic. Comparing the results obtained for epigallocatechin gallate (EGCG) from green tea, which has a similar structure to TFs and TRs suggests that they may exhibit similar or even enhanced antioxidant properties. Considering that black tea is consumed much more frequently than green tea worldwide, it is understandable that the antioxidant potential of these two compounds on cells needs to be investigated.",International journal of molecular sciences,2025,true,black tea,purified component,theaflavins,,,Black tea; polyphenols; theaflavins; thearubigins; EGCG,Black tea; polyphenols; theaflavins; thearubigins; EGCG,Black tea; polyphenols; theaflavins; thearubigins; EGCG,,generic_mechanism; low_llm_confidence; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,0.512,0.000,0.550,0.623,moderate_uncertainty,,
PMID_40867561_GLM1,PMID_40867561,unspecified tea,purified component,mixed polyphenols,polyphenols,metabolic improvement,mitochondrial health,systematic review,evidence_synthesis_nonquantitative,review synthesis,,positive,,,,,mitochondrial protection,,,aging,"Polyphenols... emerged as promising anti-aging agents due to their ability to modulate several hallmarks of aging, particularly mitochondrial dysfunction.",0.85,glm5_nvidia,llm_title_abstract_annotated,Tea mentioned as a dietary source of polyphenols.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Polyphenol-Based Therapeutic Strategies for Mitochondrial Dysfunction in Aging.,"Aging, a progressive and time-dependent decline in physiological functions, is driven by interconnected hallmarks, among which mitochondrial dysfunction plays a central role. Mitochondria not only regulate energy production but also play key roles in other cellular processes, including ROS generation, apoptosis, and metabolic signaling-all of which decline with aging. Polyphenols are a diverse group of natural compounds found in fruits, vegetables, tea, and wine; they emerged as promising anti-aging agents due to their ability to modulate several hallmarks of aging, particularly mitochondrial dysfunction. This review explores how various polyphenolic classes influence mitochondrial function and mitigate aging-related decline. These natural compounds have been shown to reduce oxidative stress, increase energy production, and help maintain normal mitochondrial structure. Moreover, in vitro and in vivo studies suggest that polyphenols can delay signs of aging and improve physical and cognitive functions. Overall, polyphenols show great potential to promote healthy aging and even delay the decline in physiological functions by protecting and enhancing mitochondrial health.",Biomolecules,2025,true,unspecified tea,purified component,mixed polyphenols,,,"Polyphenols are a diverse group of natural compounds found in fruits, vegetables, tea, and wine; they emerged as promising anti-aging agents","Polyphenols are a diverse group of natural compounds found in fruits, vegetables, tea, and wine; they emerged as promising anti-aging agents","Polyphenols are a diverse group of natural compounds found in fruits, vegetables, tea, and wine; they emerged as promising anti-aging agents",,missing_processing_or_extraction_context; review_summary_record,0.463,0.550,0.300,0.643,moderate_uncertainty,,
PMID_40834920_GLM1,PMID_40834920,unspecified tea,purified component,mixed polyphenols,,other,enhanced bioavailability,systematic review,evidence_synthesis_nonquantitative,not specified,,positive,,,,,delivery system stabilization,,,,The tea polyphenol-mediated delivery systems can improve the stability and bioavailability of food bioactive compounds during digestion and absorption.,0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,Strategies of tea polyphenol-mediated delivery systems based on Mannich reaction for precision nutrition.,"Food bioactive compounds are mostly unstable during production, storage, and severe gastrointestinal conditions, limiting their bioavailability and practical application. Therefore, it is necessary to find effective methods to protect the food bioactive compounds from degradation and exert their potential benefits. Functionalized tea polyphenol-mediated delivery systems based on Mannich condensation reactions have been extensively developed and applied as nanocarriers to improve the bioavailability of food bioactive compounds, and exhibit great potential in precision nutrition research and applications. This review focuses on elucidating the development of tea polyphenol-mediated delivery systems including nanoparticles, Pickering emulsion, and hydrogels to enhance the bioavailability of food bioactive compounds. The benefits of tea polyphenol-mediated delivery systems based on Mannich reaction in precision nutrition are reviewed, including enhanced bioavailability, stimulus response release ability and targeted delivery at cellular or organelle levels for disease intervention applications. Finally, challenges and future perspectives related to tea polyphenol-mediated delivery systems for precision nutrition are discussed. The tea polyphenol-mediated delivery systems can improve the stability and bioavailability of food bioactive compounds during digestion and absorption, and meet the diverse requirements of precision nutrition for special populations.",Journal of controlled release : official journal of the Controlled Release Society,2025,true,unspecified tea,purified component,mixed polyphenols,storage/aging,,polyphenol,storage,,,review_summary_record; taxonomy_expansion_needed,0.525,0.550,0.550,0.736,moderate_uncertainty,storage/aging,
PMID_40830941_GLM1,PMID_40830941,unspecified tea,tea infusion,multiple component groups,,cardiovascular protection,all-cause mortality,cohort study,human_observational,human cohort,,negative,,,,,,,,,"Cox models with cubic splines showed significant associations between unsweetened and sugar-sweetened tea and lower all-cause mortality [HRs (95%CI), 0.78 (0.73-0.83)].",0.90,glm5_nvidia,llm_title_abstract_annotated,Combined HR reported for unsweetened and sugar-sweetened tea.; Specific finding for unsweetened tea.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"Association of sugar-sweetened, artificially sweetened, and unsweetened tea with all-cause and cause-specific mortality: a prospective cohort study in UK biobank.","Although previous observational studies have revealed a significant relationship between tea consumption and reduced mortality risk, the associations of adding sugar or alternative sweeteners to tea with mortality risks are still largely unknown. This study aimed to evaluate the associations of consumption of unsweetened, sugar-sweetened, and artificially sweetened tea with all-cause and cause-specific mortality. A total of 180,344 participants in the UK Biobank were eligible for this study. Data for dietary consumption of unsweetened, sugar-sweetened, and artificially sweetened tea by a 24-hour dietary assessment tool were acquired. During a median follow-up of 11.7 years, 6809 deaths were recorded. Cox models with cubic splines showed significant associations between unsweetened and sugar-sweetened tea and lower all-cause mortality [HRs (95%CI), 0.78 (0.73-0.83)]. Unsweetened tea consumers also had lower risks for cancer and cardiovascular disease (CVD) mortality with the respective HRs (95%CI) of 0.81 (0.74-0.88) and 0.74 (0.64-0.86). The relationship between artificially sweetened tea and mortality risks was inconclusive. Furthermore, more amounts of sugar or alternative sweeteners added to tea may impact the association with mortality. Our findings highlighted that moderate intake of unsweetened and sugar-sweetened tea was associated with lower mortality risks.",BMC public health,2025,true,unspecified tea,tea infusion,multiple component groups,,,unsweetened tea; sugar-sweetened tea; artificially sweetened tea,unsweetened tea; sugar-sweetened tea; artificially sweetened tea,unsweetened tea; sugar-sweetened tea; artificially sweetened tea,,generic_mechanism; missing_processing_or_extraction_context,0.200,0.000,0.300,0.605,moderate_uncertainty,,
PMID_40830941_GLM3,PMID_40830941,unspecified tea,tea infusion,multiple component groups,,other,cancer mortality,cohort study,human_observational,human cohort,,negative,,,,,,,,,Unsweetened tea consumers also had lower risks for cancer and cardiovascular disease (CVD) mortality with the respective HRs (95%CI) of 0.81 (0.74-0.88) and 0.74 (0.64-0.86).,0.90,glm5_nvidia,llm_title_abstract_annotated,Specific finding for unsweetened tea.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"Association of sugar-sweetened, artificially sweetened, and unsweetened tea with all-cause and cause-specific mortality: a prospective cohort study in UK biobank.","Although previous observational studies have revealed a significant relationship between tea consumption and reduced mortality risk, the associations of adding sugar or alternative sweeteners to tea with mortality risks are still largely unknown. This study aimed to evaluate the associations of consumption of unsweetened, sugar-sweetened, and artificially sweetened tea with all-cause and cause-specific mortality. A total of 180,344 participants in the UK Biobank were eligible for this study. Data for dietary consumption of unsweetened, sugar-sweetened, and artificially sweetened tea by a 24-hour dietary assessment tool were acquired. During a median follow-up of 11.7 years, 6809 deaths were recorded. Cox models with cubic splines showed significant associations between unsweetened and sugar-sweetened tea and lower all-cause mortality [HRs (95%CI), 0.78 (0.73-0.83)]. Unsweetened tea consumers also had lower risks for cancer and cardiovascular disease (CVD) mortality with the respective HRs (95%CI) of 0.81 (0.74-0.88) and 0.74 (0.64-0.86). The relationship between artificially sweetened tea and mortality risks was inconclusive. Furthermore, more amounts of sugar or alternative sweeteners added to tea may impact the association with mortality. Our findings highlighted that moderate intake of unsweetened and sugar-sweetened tea was associated with lower mortality risks.",BMC public health,2025,true,unspecified tea,tea infusion,multiple component groups,,,unsweetened tea; tea consumption,unsweetened tea; tea consumption,unsweetened tea; tea consumption,,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,0.200,0.000,0.300,0.605,moderate_uncertainty,,
PMID_40823011_GLM1,PMID_40823011,unspecified tea,tea infusion,caffeine,,cardiovascular protection,all-cause mortality,cohort study,human_observational,human cohort,,unclear,,,,,,,,mortality risk,"A U-shaped association was observed between tea consumption and mortality risk. Compared with non-consumers, individuals consuming 3.5-4.5 drinks per day of unsweetened tea had the lowest risks of all-cause (HR, 0.80; 95% CI: 0.75-0.86)...",0.95,glm5_nvidia,llm_title_abstract_annotated,U-shaped association found; optimal intake 3.5-4.5 drinks/day for unsweetened tea.; Significant inverse association for unsweetened tea consumption and CVD mortality.; Significant inverse association for unsweetened tea consumption and cancer mortality.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,"The associations of unsweetened, sugar-sweetened, and artificially sweetened tea consumption with all-cause and cause-specific mortality in 195,361 UK Biobank participants: a large prospective cohort study.","BACKGROUND: Tea consumption has been associations with a lower risk of mortality and numerous health benefits. However, it is still unclear whether consuming tea with or without sugar or sweeteners has different effects on mortality. It is necessary to investigate the associations of unsweetened, sugar-sweetened, and artificially sweetened tea consumption with all-cause mortality and cause-specific mortality. METHODS: In this population-based cohort study of 195,361 UK Biobank participants who completed at least one 24-h dietary recall, we examined tea consumption by type (unsweetened, sugar-sweetened, artificially sweetened). Cox proportional hazards models and restricted cubic splines were used to assess nonlinear associations between tea intake and the risks of all-cause, cancer, and cardiovascular disease (CVD) mortality. We also conducted subgroup analyses stratified by genetic score for caffeine metabolism. RESULTS: After a median follow-up of 13.6 years, 11,718 all-cause deaths were recorded, including 2,202 deaths from CVD and 6,415 from cancer. A U-shaped association was observed between tea consumption and mortality risk. Compared with non-consumers, individuals consuming 3.5-4.5 drinks per day of unsweetened tea had the lowest risks of all-cause (HR, 0.80; 95% CI: 0.75-0.86), cancer (HR, 0.86; 95% CI: 0.77-0.97), and CVD (HR, 0.73; 95% CI: 0.60-0.89). Sugar-sweetened tea showed no consistent or statistically significant associations with all-cause, cancer, or CVD mortality across different levels of consumption. Similarly, no significant associations were found for artificially sweetened tea. The observed associations between tea consumption and mortality were not modified by genetic predisposition to caffeine metabolism. CONCLUSION: Unsweetened tea consumption was significantly associated with a lower risk of all-cause, cancer, and CVD mortality. No consistent or statistically significant associations were observed for sugar-sweetened or artificially sweetened tea. The potential attenuation of tea's protective effects by added sugar or artificial sweeteners warrants further investigation. Given current evidence, it may be advisable to consume tea without added sweeteners to optimize health benefits and longevity.",Frontiers in nutrition,2025,true,unspecified tea,tea infusion,caffeine,,,unsweetened tea;sugar-sweetened tea;artificially sweetened tea;tea consumption,unsweetened tea;sugar-sweetened tea;artificially sweetened tea;tea consumption,unsweetened tea;sugar-sweetened tea;artificially sweetened tea;tea consumption,,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,0.325,0.000,0.300,0.664,moderate_uncertainty,,
PMID_40822528_GLM1,PMID_40822528,unspecified tea,unspecified material,theanine,theanine,neuroprotection,neural disorders,systematic review,evidence_synthesis_nonquantitative,review synthesis,,positive,,,,,,,,neural health,"Typically, theanine is known for its protective effect on neural disorders.",0.90,glm5_nvidia,llm_title_abstract_annotated,neuroprotective effects summarized; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Pharmaceutical Activities of Theanine: A Phytochemical Nutrient.,"Theanine, first isolated from tea (Camellia sinensis (L.) O. Kuntze), has been recognized for its multiple pharmaceutical functions. Typically, theanine is known for its protective effect on neural disorders. In this review, the neuroprotective effects of theanine were summarized in aspects of stress management, cognitive improvement, and reversal of neural injury. Meanwhile, the pharmaceutical functions of theanine in areas such as anti-inflammatory effects, metabolic intervention, antineoplastic effect, etc., were explored and elucidated. Subsequently, functional expansion, applications for special medical purposes, and clarification of the pharmacological and metabolic mechanism of theanine were proposed as prospects for future research. All in all, identifying more desirable applications and furthering the functional advantages of theanine were the purposes. A systematic understanding of theanine's effect on neural health, as well as the development of theanine-related products for mental health, would be desired.",Food science & nutrition,2025,true,unspecified tea,purified component,theanine,,isolation/purification,first isolated from tea; theanine,first isolated from tea; theanine,first isolated from tea; theanine,,generic_mechanism; review_summary_record,0.375,0.000,0.500,0.689,moderate_uncertainty,,isolation
PMID_40822528_GLM2,PMID_40822528,unspecified tea,unspecified material,theanine,theanine,metabolic improvement,metabolic intervention,systematic review,evidence_synthesis_nonquantitative,review synthesis,,unclear,,,,,,,,,"pharmaceutical functions of theanine in areas such as anti-inflammatory effects, metabolic intervention, antineoplastic effect, etc.",0.85,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Pharmaceutical Activities of Theanine: A Phytochemical Nutrient.,"Theanine, first isolated from tea (Camellia sinensis (L.) O. Kuntze), has been recognized for its multiple pharmaceutical functions. Typically, theanine is known for its protective effect on neural disorders. In this review, the neuroprotective effects of theanine were summarized in aspects of stress management, cognitive improvement, and reversal of neural injury. Meanwhile, the pharmaceutical functions of theanine in areas such as anti-inflammatory effects, metabolic intervention, antineoplastic effect, etc., were explored and elucidated. Subsequently, functional expansion, applications for special medical purposes, and clarification of the pharmacological and metabolic mechanism of theanine were proposed as prospects for future research. All in all, identifying more desirable applications and furthering the functional advantages of theanine were the purposes. A systematic understanding of theanine's effect on neural health, as well as the development of theanine-related products for mental health, would be desired.",Food science & nutrition,2025,true,unspecified tea,purified component,theanine,,isolation/purification,"Theanine, first isolated from tea; phytochemical nutrient; pharmaceutical functions of theanine","Theanine, first isolated from tea; phytochemical nutrient; pharmaceutical functions of theanine","Theanine, first isolated from tea; phytochemical nutrient; pharmaceutical functions of theanine",,generic_mechanism; review_summary_record; uncertain_effect_direction,0.375,0.000,0.500,0.661,moderate_uncertainty,,isolation
PMID_40822528_GLM3,PMID_40822528,unspecified tea,unspecified material,theanine,theanine,other,antineoplastic effect,systematic review,evidence_synthesis_nonquantitative,review synthesis,,unclear,,,,,,,,,"pharmaceutical functions of theanine in areas such as anti-inflammatory effects, metabolic intervention, antineoplastic effect, etc.",0.85,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Pharmaceutical Activities of Theanine: A Phytochemical Nutrient.,"Theanine, first isolated from tea (Camellia sinensis (L.) O. Kuntze), has been recognized for its multiple pharmaceutical functions. Typically, theanine is known for its protective effect on neural disorders. In this review, the neuroprotective effects of theanine were summarized in aspects of stress management, cognitive improvement, and reversal of neural injury. Meanwhile, the pharmaceutical functions of theanine in areas such as anti-inflammatory effects, metabolic intervention, antineoplastic effect, etc., were explored and elucidated. Subsequently, functional expansion, applications for special medical purposes, and clarification of the pharmacological and metabolic mechanism of theanine were proposed as prospects for future research. All in all, identifying more desirable applications and furthering the functional advantages of theanine were the purposes. A systematic understanding of theanine's effect on neural health, as well as the development of theanine-related products for mental health, would be desired.",Food science & nutrition,2025,true,unspecified tea,purified component,theanine,,isolation/purification,first isolated from tea; phytochemical nutrient,first isolated from tea; phytochemical nutrient,first isolated from tea; phytochemical nutrient,,generic_mechanism; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,0.375,0.000,0.500,0.661,moderate_uncertainty,,isolated
