claim_text_raw,confidence_score,context_completeness_score,journal,label,mechanism_specificity_score,node_id,node_type,title,uncertainty_class,uncertainty_flags,year
The key non-volatile compounds and antioxidant capacity (DPPH and FRAP evaluation systems) were highest in the microwave-processed MLGT sample.,0.799,0.800,,PMID_41664546_GLM1,0.000,record:PMID_41664546_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; low_evidence_level,
,,,,pan-firing/fixation,,processing_step:pan_firing_fixation,ProcessingStep,,,,
,,,,in_vitro,,evidence_level:in_vitro,EvidenceLevel,,,,
,,,,low_evidence_level,,uncertainty:low_evidence_level,UncertaintyFlag,,,,
,,,Probiotics and antimicrobial proteins,PMID_41656480,,paper:PMID_41656480,Paper,Fermentation time Determines Anti-inflammatory and Osteoprotective Activity of Green Tea Kombucha in a Rat Model of Experimental Periodontitis.,,,2026
"Kombucha fermented for 4 days... produced the most pronounced reduction in periodontal inflammation... with lower expression of tumor necrosis factor-alpha (42,9%)... in periodontal tissues compared to animals with periodontitis without treatment.",0.825,0.800,,PMID_41656480_GLM1,0.750,record:PMID_41656480_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,TNF-alpha downregulation,,mechanism:tnf_alpha_downregulation,Mechanism,,,,
,,,,Acetobacteraceae,,microbiota:acetobacteraceae,MicrobiotaFeature,,,,
,,,,Saccharomycetaceae,,microbiota:saccharomycetaceae,MicrobiotaFeature,,,,
,,,,periodontal inflammation,,phenotype:periodontal_inflammation,HostPhenotype,,,,
"This fermentation time also produced the most pronounced reduction in... alveolar bone loss, with lower expression of... receptor activator of nuclear factor kappa-B (43,6%), as well as higher expression of osteoprotegerin (approximately 55,4%) in periodontal tissues...",0.825,0.800,,PMID_41656480_GLM2,0.750,record:PMID_41656480_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,RANK/RANKL/OPG pathway modulation,,mechanism:rank_rankl_opg_pathway_modulation,Mechanism,,,,
,,,,alveolar bone resorption,,phenotype:alveolar_bone_resorption,HostPhenotype,,,,
,,,Food chemistry,PMID_41655487,,paper:PMID_41655487,Paper,Eucommia ulmoides leaf as an alternative substrate for kombucha fermentation: the role of microbial communities in dynamics and metabolic profile.,,,2026
EUL kombucha exhibited slower sugar consumption rate and superior in vitro antioxidant activity compared with traditional kombucha.,0.771,0.800,,PMID_41655487_GLM1,0.000,record:PMID_41655487_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; preclinical_only; taxonomy_expansion_needed,
,,,"Food research international (Ottawa, Ont.)",PMID_41652699,,paper:PMID_41652699,Paper,"Selenium biofortification modulates the structure, digestion, and microbial fermentation characteristics of tea proteins.",,,2026
"Se-TPs promoted the production of lactic acid and short-chain fatty acids. Moreover, Se-TPs selectively enriched beneficial taxa such as Prevotella and Streptococcus salivarius.",0.749,0.550,,PMID_41652699_GLM1,0.750,record:PMID_41652699_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,"Prevotella, Streptococcus salivarius",,microbiota:prevotella_streptococcus_salivarius,MicrobiotaFeature,,,,
,,,,"lactic acid, short-chain fatty acids",,metabolite:lactic_acid_short_chain_fatty_acids,MicrobialMetabolite,,,,
Se-TPs significantly suppressing the intestinal pathogen Shigella.,0.749,0.550,,PMID_41652699_GLM2,0.750,record:PMID_41652699_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,suppression of intestinal pathogen,,mechanism:suppression_of_intestinal_pathogen,Mechanism,,,,
,,,,Shigella,,microbiota:shigella,MicrobiotaFeature,,,,
,,,Journal of the science of food and agriculture,PMID_41645939,,paper:PMID_41645939,Paper,From coffee to matcha: decoding the multidimensional competence of matcha as a sustainable and health-promoting coffee substitute.,,,2026
"Matcha... contains higher concentrations of catechins, theanine, and caffeine, offering unique health benefits such as improved brain function",0.775,0.800,,PMID_41645939_GLM1,0.550,record:PMID_41645939_GLM1,EvidenceRecord,,moderate_uncertainty,review_summary_record,
,,,,powder/matcha processing,,processing_step:powder_matcha_processing,ProcessingStep,,,,
,,,,theanine presence,,mechanism:theanine_presence,Mechanism,,,,
,,,,cognitive function,,phenotype:cognitive_function,HostPhenotype,,,,
Matcha... offering unique health benefits such as... antioxidant activity,0.713,0.800,,PMID_41645939_GLM2,0.000,record:PMID_41645939_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism; review_summary_record; taxonomy_expansion_needed,
,,,,shading,,processing_step:shading,ProcessingStep,,,,
,,,"Colloids and surfaces. B, Biointerfaces",PMID_41632991,,paper:PMID_41632991,Paper,"Supramolecularly co-assembled composite bone cement prepared from tea polyphenol-modified tricalcium phosphate/tricalcium silicate with osteogenic, antibacterial, and immunomodulatory effects.",,,2026
"TTKS effectively inhibited methicillin-resistant Staphylococcus aureus (MRSA) colonization by inducing a reactive oxygen species (ROS) burst, leading to bacterial DNA damage.",0.710,0.300,,PMID_41632991_GLM3,0.750,record:PMID_41632991_GLM3,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,ROS burst-induced bacterial DNA damage,,mechanism:ros_burst_induced_bacterial_dna_damage,Mechanism,,,,
TTKS facilitated M2 macrophage polarization and enhanced the secretion of anti-inflammatory cytokines TGF-β1 and IL-10.,0.671,0.300,,PMID_41632991_GLM2,0.550,record:PMID_41632991_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,upregulated secretion of TGF-β1 and IL-10,,mechanism:upregulated_secretion_of_tgf_1_and_il_10,Mechanism,,,,
,,,Journal of agricultural and food chemistry,PMID_41632836,,paper:PMID_41632836,Paper,Network Pharmacology-Based Investigation of the Mechanism of Liupao Tea Polyphenol Extract in Preventing MAFLD via the Hepatic EGFR-AKT Pathway.,,,2026
"PLE inhibits lipid accumulation by downregulating the EGFR/pEGFR-AKT/pAKT-SREBP-1-ACC1 pathway through binding to the EGFR receptor, thereby preventing MAFLD.",0.835,0.750,,PMID_41632836_GLM1,0.850,record:PMID_41632836_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only; uncertain_effect_direction,
,,,,EGFR/pEGFR-AKT/pAKT-SREBP-1-ACC1 pathway,,mechanism:egfr_pegfr_akt_pakt_srebp_1_acc1_pathway,Mechanism,,,,
,,,,lipid accumulation,,phenotype:lipid_accumulation,HostPhenotype,,,,
,,,Critical reviews in food science and nutrition,PMID_41622927,,paper:PMID_41622927,Paper,"Polyphenols, epigenetics, and methionine metabolism: unlocking therapeutic potential.",,,2026
polyphenols are biotransformed in the gut microbiota to produce metabolites that further influence methionine metabolism,0.671,0.300,,PMID_41622927_GLM1,0.550,record:PMID_41622927_GLM1,EvidenceRecord,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,
,,,,biotransformation of polyphenols,,mechanism:biotransformation_of_polyphenols,Mechanism,,,,
"Dietary polyphenols influence this cycle through multiple mechanisms, including the regulation of methionine adenosyltransferase activity, modulation of SAM biosynthesis, and promotion of S-adenosylhomocysteine clearance.",0.671,0.300,,PMID_41622927_GLM2,0.550,record:PMID_41622927_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,
,,,,regulation of SAM biosynthesis and methionine adenosyltransferase activity,,mechanism:regulation_of_sam_biosynthesis_and_methionine_adenosyltransferase_activity,Mechanism,,,,
,,,,"metabolic, inflammatory, and age-related diseases",,phenotype:metabolic_inflammatory_and_age_related_diseases,HostPhenotype,,,,
,,,Molecular nutrition & food research,PMID_41622499,,paper:PMID_41622499,Paper,Synergistic Effects of Polyphenols and Gut Microbiota-Derived Metabolites on Inflammation and Metabolic Syndrome: A Review.,,,2026
"Polyphenol-rich dietary sources exert prebiotic-like effects by selectively enriching commensal bacteria, including Lactobacillus and Bifidobacterium spp., while downregulating harmful genera such as Clostridium.",0.683,0.300,,PMID_41622499_GLM1,0.750,record:PMID_41622499_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,
,,,,prebiotic-like effect,,mechanism:prebiotic_like_effect,Mechanism,,,,
,,,,Clostridium,,microbiota:clostridium,MicrobiotaFeature,,,,
"These compounds attenuate inflammatory responses through the modulation of intracellular signaling cascades, suppression of pro-inflammatory cytokines, and mitigation of oxidative stress via activation of anti-oxidant pathways.",0.689,0.300,,PMID_41622499_GLM2,0.850,record:PMID_41622499_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,
,,,,suppression of pro-inflammatory cytokines,,mechanism:suppression_of_pro_inflammatory_cytokines,Mechanism,,,,
,,,,anti-oxidant pathway activation,,mechanism:anti_oxidant_pathway_activation,Mechanism,,,,
,,,,inflammatory response,,phenotype:inflammatory_response,HostPhenotype,,,,
"This dynamic interaction has profound implications for host metabolism, inflammation regulation, and disease prevention.",0.655,0.300,,PMID_41622499_GLM3,0.750,record:PMID_41622499_GLM3,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,
,,,,host metabolism regulation,,mechanism:host_metabolism_regulation,Mechanism,,,,
,,,,inflammation regulation,,mechanism:inflammation_regulation,Mechanism,,,,
,,,,bioactive metabolites,,metabolite:bioactive_metabolites,MicrobialMetabolite,,,,
,,,,metabolic syndrome phenotype,,phenotype:metabolic_syndrome_phenotype,HostPhenotype,,,,
,,,Hereditas,PMID_41622288,,paper:PMID_41622288,Paper,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",,,2026
"We synthesize current knowledge on the pharmacokinetics of caffeine, emphasizing the central role of the hepatic enzyme CYP1A2 and its transcriptional regulator AHR in determining metabolic rate.",0.671,0.300,,PMID_41622288_GLM1,0.550,record:PMID_41622288_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,
,,,,CYP1A2 enzyme activity,,mechanism:cyp1a2_enzyme_activity,Mechanism,,,,
,,,,metabolic phenotype,,phenotype:metabolic_phenotype,HostPhenotype,,,,
"Finally, we discuss how genetic variation interacts with coffee and tea’s diverse bioactive components to influence cardiovascular, neurological, and metabolic outcomes.",0.643,0.300,,PMID_41622288_GLM2,0.550,record:PMID_41622288_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,gene-environment interaction,,mechanism:gene_environment_interaction,Mechanism,,,,
,,,,disease susceptibility,,phenotype:disease_susceptibility,HostPhenotype,,,,
,,,Journal of oleo science,PMID_41621929,,paper:PMID_41621929,Paper,"Evaluation of Antioxidant Activity and Phenolic Content of Medicinal Plants Extracted by Ethanol, Methanol, and Water.",,,2026
"Analyses included ... antioxidant capacity (FRAP, CUPRAC), and DPPH IC₅₀. Methanol extract pH ranged from ... to 8.29 green tea leaf (Camellia sinensis L.).",0.820,0.750,,PMID_41621929_GLM1,0.550,record:PMID_41621929_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only; uncertain_effect_direction,
,,,,solvent extraction,,extraction_method:solvent_extraction,ExtractionMethod,,,,
,,,,phenolic content,,mechanism:phenolic_content,Mechanism,,,,
,,,AMB Express,PMID_41621019,,paper:PMID_41621019,Paper,Enzymatic preparation of epigallocatechin gallate diglucoside and bioactivity assessment.,,,2026
"EGCG-2G displayed notable antioxidant, anti-inflammatory, and anti-melanogenic activities... reduced inflammatory cytokine levels",0.805,0.800,,PMID_41621019_GLM1,0.550,record:PMID_41621019_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,reduced cytokine levels,,mechanism:reduced_cytokine_levels,Mechanism,,,,
It effectively scavenged intracellular and extracellular free radicals,0.805,0.800,,PMID_41621019_GLM2,0.550,record:PMID_41621019_GLM2,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,scavenged intracellular and extracellular free radicals,,mechanism:scavenged_intracellular_and_extracellular_free_radicals,Mechanism,,,,
inhibited melanin synthesis. Molecular docking and gene expression analyses suggested that its anti-melanogenic effect might be associated with the MC1R/cAMP/MITF signaling pathway,0.825,0.800,,PMID_41621019_GLM3,0.850,record:PMID_41621019_GLM3,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,MC1R/cAMP/MITF signaling pathway,,mechanism:mc1r_camp_mitf_signaling_pathway,Mechanism,,,,
,,,Scientific reports,PMID_41617902,,paper:PMID_41617902,Paper,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,,,2026
antioxidant capacity was evaluated using the DPPH assay... DPPH inhibition (11-69%),0.609,0.300,,PMID_41617902_GLM1,0.000,record:PMID_41617902_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,
"Caffeine (57.76-79.14%) was the dominant phytochemical, followed by theobromine and quinic acid.",0.636,0.300,,PMID_41617902_GLM2,0.000,record:PMID_41617902_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,Preparative biochemistry & biotechnology,PMID_41612904,,paper:PMID_41612904,Paper,"Phytochemical profile and multi-target biological activities of Sideritis lanata water extract: antioxidant, enzyme inhibition, and anti-inflammatory potential.",,,2026
"Antioxidant activity, evaluated using six complementary assays, was moderate and assay-dependent, with stronger metal-chelating activity (IC50 = 1.31 mg/mL) and ferric reducing antioxidant power (FRAP; EC50 = 1.38 mg/mL).",0.750,0.500,,PMID_41612904_GLM1,0.550,record:PMID_41612904_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,metal chelation and reducing power,,mechanism:metal_chelation_and_reducing_power,Mechanism,,,,
"In A549 lung carcinoma cells... at the half-maximal inhibitory concentration (IC50), tumor necrosis factor-alpha (TNF-α) increased to 26.73 ng/mL, whereas transforming growth factor-beta (TGF-β) and interleukin-1 beta (IL-1β) decreased to 9.4 and 10.83 pg/mL, respectively.",0.723,0.500,,PMID_41612904_GLM2,0.550,record:PMID_41612904_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only; uncertain_effect_direction,
,,,,immunomodulation,,mechanism:immunomodulation,Mechanism,,,,
"The extract inhibited acetyl- and butyrylcholinesterase and tyrosinase with comparable potency (2.69, 2.53, and 2.64 mg/mL, respectively), while weaker inhibition was observed for α-glucosidase (10.63 mg/mL) and α-amylase (19.93 mg/mL).",0.750,0.500,,PMID_41612904_GLM3,0.550,record:PMID_41612904_GLM3,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,inhibition of cholinesterase and tyrosinase,,mechanism:inhibition_of_cholinesterase_and_tyrosinase,Mechanism,,,,
,,,Journal of clinical laboratory analysis,PMID_41607156,,paper:PMID_41607156,Paper,Effect of Epigallocatechin-3-Gallate on Depression-Related Cytokines in Thalassemia Patients: Molecular and Cellular Evaluation.,,,2026
"Increasing EGCG concentrations up to 50 μM resulted in a significant reduction in cytokine gene expression, with p-values ranging from < 0.001 to < 0.05.",0.820,0.750,,PMID_41607156_GLM1,0.550,record:PMID_41607156_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,modulation of cytokine expression,,mechanism:modulation_of_cytokine_expression,Mechanism,,,,
,,,,beta-thalassemia,,phenotype:beta_thalassemia,HostPhenotype,,,,
,,,International journal of biological macromolecules,PMID_41605387,,paper:PMID_41605387,Paper,Pectic polysaccharides from tea residues: Structural characterization and molecular evolution throughout in vitro fecal fermentation.,,,2026
The results demonstrated that microorganisms preferentially degrade the side chains of the RG-I domain before metabolizing galacturonic acid residues from the backbone.,0.801,0.750,,PMID_41605387_GLM1,0.750,record:PMID_41605387_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,preferential degradation of RG-I side chains,,mechanism:preferential_degradation_of_rg_i_side_chains,Mechanism,,,,
,,,Nutrients,PMID_41599956,,paper:PMID_41599956,Paper,Exploring the Effects of Teas with Different Fermentation Levels and Black Coffee on the Body via the Urine Proteome.,,,2026
"Biological processes and pathways enriched with differential proteins included fat cell differentiation, lipid metabolism, glucose metabolism, fatty acid transport, and immune response.",0.768,0.800,,PMID_41599956_GLM1,0.000,record:PMID_41599956_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; preclinical_only; uncertain_effect_direction,
,,,,fat cell differentiation,,phenotype:fat_cell_differentiation,HostPhenotype,,,,
,,,,glucose metabolism,,phenotype:glucose_metabolism,HostPhenotype,,,,
"Biological processes and pathways enriched with differential proteins included fat cell differentiation, lipid metabolism, glucose metabolism, fatty acid transport, and immune response.",0.740,0.800,,PMID_41599956_GLM2,0.000,record:PMID_41599956_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,Nutrients,PMID_41599929,,paper:PMID_41599929,Paper,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",,,2026
"Multifunctional bioactivities of EGCG, including its... gut microbiota-modulating... properties.",0.636,0.300,,PMID_41599929_GLM1,0.000,record:PMID_41599929_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,
"EGCG, a major polyphenolic compound in tea leaves, exhibits potent antioxidant... properties.",0.636,0.300,,PMID_41599929_GLM2,0.000,record:PMID_41599929_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,
,,,"Molecules (Basel, Switzerland)",PMID_41599419,,paper:PMID_41599419,Paper,"Dose-Dependent Effects of Pear (Pyrus communis L.) Juice on Kombucha Polyphenols, Antioxidant Capacity, and Enzyme Inhibition.",,,2026
"Fermentation enhanced the antioxidant potential, with FRAP values more than doubling relative to the control.",0.860,0.800,,PMID_41599419_GLM1,0.550,record:PMID_41599419_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,phenolic compound accumulation,,mechanism:phenolic_compound_accumulation,Mechanism,,,,
"Pear supplementation also enhanced the inhibitory activity of key metabolic and neuroactive enzymes, including α-glucosidase.",0.833,0.800,,PMID_41599419_GLM2,0.550,record:PMID_41599419_GLM2,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,phenolic profile remodeling,,mechanism:phenolic_profile_remodeling,Mechanism,,,,
"Pear supplementation also enhanced the inhibitory activity of key metabolic and neuroactive enzymes, including acetylcholinesterase and butyrylcholinesterase.",0.833,0.800,,PMID_41599419_GLM3,0.550,record:PMID_41599419_GLM3,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,phenolic enrichment,,mechanism:phenolic_enrichment,Mechanism,,,,
,,,International journal of molecular sciences,PMID_41596333,,paper:PMID_41596333,Paper,Enhanced Effects of Complex Tea Extract and the Postbiotic BPL1(®) HT on Ameliorating the Cardiometabolic Alterations Associated with Metabolic Syndrome in Mice.,,,2026
"CTE, BPL1®HT, and the blend prevented bacterial richness reduction caused by HFHS; the blend achieved higher bacterial richness than mice in Chow diet. Additionally, the blend prevented the increase in Flintibacter butyricus, which is associated with MetS clinical parameters, and showed a tendency to increase the abundance of Bifidobacterium.",0.763,0.500,,PMID_41596333_GLM1,0.750,record:PMID_41596333_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,prevented bacterial richness reduction,,mechanism:prevented_bacterial_richness_reduction,Mechanism,,,,
,,,,prevented increase in Flintibacter butyricus,,mechanism:prevented_increase_in_flintibacter_butyricus,Mechanism,,,,
,,,,Flintibacter butyricus,,microbiota:flintibacter_butyricus,MicrobiotaFeature,,,,
"Co-treatment also restored PI3K/Akt signaling in liver and muscle, reduced hepatic steatosis, and normalized the expression of inflammatory and oxidative stress markers across multiple tissues.",0.769,0.500,,PMID_41596333_GLM2,0.850,record:PMID_41596333_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,restored PI3K/Akt signaling,,mechanism:restored_pi3k_akt_signaling,Mechanism,,,,
,,,,reduced hepatic steatosis,,mechanism:reduced_hepatic_steatosis,Mechanism,,,,
,,,,normalized inflammatory and oxidative stress markers,,mechanism:normalized_inflammatory_and_oxidative_stress_markers,Mechanism,,,,
,,,,body weight,,phenotype:body_weight,HostPhenotype,,,,
,,,,insulin sensitivity,,phenotype:insulin_sensitivity,HostPhenotype,,,,
,,,,lipid profiles,,phenotype:lipid_profiles,HostPhenotype,,,,
,,,,vascular function,,phenotype:vascular_function,HostPhenotype,,,,
,,,Phytotherapy research : PTR,PMID_41587797,,paper:PMID_41587797,Paper,"Dietary Antioxidants, Polyphenols, and Vascular Health: Insights From Ultrasound Measurement of Carotid Intima-Media Thickness and Their Association With Cognitive Function in Aging and Neurodegenerative Diseases.",,,2026
"Evidence from randomized controlled and observational studies shows that polyphenol-rich interventions...are associated with reductions in CIMT...These benefits are mediated through reduced oxidative stress, suppression of pro-inflammatory cytokines...",0.625,0.300,,PMID_41587797_GLM1,0.250,record:PMID_41587797_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,
,,,,antioxidant mechanism,,mechanism:antioxidant_mechanism,Mechanism,,,,
"Evidence from randomized controlled and observational studies shows that polyphenol-rich interventions...are associated with...improvements in cognitive domains, including memory, attention, and executive function.",0.643,0.300,,PMID_41587797_GLM2,0.550,record:PMID_41587797_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,
,,,,neuroprotection-related mechanism,,mechanism:neuroprotection_related_mechanism,Mechanism,,,,
,,,,cognition phenotype,,phenotype:cognition_phenotype,HostPhenotype,,,,
,,,Redox biology,PMID_41581373,,paper:PMID_41581373,Paper,CRISPR-based chemogenomic profiling reveals redox vulnerabilities to epigallocatechin-3-gallate and green tea polyphenol extract.,,,2026
"loss of key antioxidant genes, including PRDX1, CAT, GSS, GCLM, and GCLC, significantly heightened cellular susceptibility to EGCG and green tea extract (GTE), underscoring the critical role of glutathione biosynthesis and redox homeostasis in mediating cytotoxicity.",0.848,0.750,,PMID_41581373_GLM1,0.550,record:PMID_41581373_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,pro-oxidant stress,,mechanism:pro_oxidant_stress,Mechanism,,,,
,,,,disruption of redox homeostasis,,mechanism:disruption_of_redox_homeostasis,Mechanism,,,,
,,,,cancer cells,,phenotype:cancer_cells,HostPhenotype,,,,
"Green tea polyphenols, particularly epigallocatechin-3-gallate (EGCG), are widely recognized for their beneficial preventive effects against chronic diseases including cancer and obesity.",0.710,0.750,,PMID_41581373_GLM2,0.550,record:PMID_41581373_GLM2,EvidenceRecord,,moderate_uncertainty,low_llm_confidence; preclinical_only,
,,,,mitigation of oxidative damage,,mechanism:mitigation_of_oxidative_damage,Mechanism,,,,
,,,,obesity-associated cancers,,phenotype:obesity_associated_cancers,HostPhenotype,,,,
,,,International journal of biological macromolecules,PMID_41577286,,paper:PMID_41577286,Paper,Study of polyphenol-pea protein isolate nanofiber interactions: Conformational changes and emulsification stability mechanisms.,,,2026
"phenolic hydroxyl groups of TA/TP, which enhanced the compound's antioxidant capacity, effectively delay lipid oxidation",0.671,0.300,,PMID_41577286_GLM1,0.550,record:PMID_41577286_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,phenolic hydroxyl groups enhance antioxidant capacity,,mechanism:phenolic_hydroxyl_groups_enhance_antioxidant_capacity,Mechanism,,,,
,,,World journal of microbiology & biotechnology,PMID_41572086,,paper:PMID_41572086,Paper,"An integrated in-vitro, transcriptomic, and in-silico approach to understand the molecular mechanism of quorum-sensing inhibition by Epigallocatechin-3-gallate (EGCG) in Chromobacterium violaceum.",,,2026
"EGCG showed a significant reduction in biofilm formation, violacein, exopolysaccharide, protease production, and swarming motility in Chromobacterium violaceum ATCC 12472 at different sub-inhibitory concentrations.",0.807,0.550,,PMID_41572086_GLM1,0.750,record:PMID_41572086_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,Inhibition of CviI/CviR circuit and binding to CviR protein,,mechanism:inhibition_of_cvii_cvir_circuit_and_binding_to_cvir_protein,Mechanism,,,,
,,,,Chromobacterium violaceum,,microbiota:chromobacterium_violaceum,MicrobiotaFeature,,,,
,,,"Colloids and surfaces. B, Biointerfaces",PMID_41564650,,paper:PMID_41564650,Paper,Biomimetic pore-throat engineered ultrahigh molecular weight polyethylene with sustained tea polyphenol release for infection-resistant joint implant material.,,,2026
Combined with favorable biocompatibility and effective suppression of bacterial-induced inflammation,0.643,0.300,,PMID_41564650_GLM1,0.550,record:PMID_41564650_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,tea polyphenol release,,mechanism:tea_polyphenol_release,Mechanism,,,,
The resulting composites achieved > 80 % antibacterial efficacy against major pathogens,0.671,0.300,,PMID_41564650_GLM2,0.550,record:PMID_41564650_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,EGCG release,,mechanism:egcg_release,Mechanism,,,,
,,,Materials today. Bio,PMID_41560832,,paper:PMID_41560832,Paper,Treating acute respiratory distress syndrome with a multifaceted nanomedicine: Inhibition of PANoptosis and enhancement of lung barrier integrity.,,,2026
"Our results demonstrate that the nanomedcine TPNs/Sal B effectively inhibit PANoptosis, thereby attenuating lung tissue pathological damage, reducing inflammation, and improving lung epithelial barrier function in ALI models.",0.698,0.300,,PMID_41560832_GLM1,0.550,record:PMID_41560832_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,PANoptosis inhibition,,mechanism:panoptosis_inhibition,Mechanism,,,,
,,,,Acute Lung Injury/Acute Respiratory Distress Syndrome,,phenotype:acute_lung_injury_acute_respiratory_distress_syndrome,HostPhenotype,,,,
,,,Scientific reports,PMID_41559215,,paper:PMID_41559215,Paper,In vitro release kinetics and in vivo plasma exposure of green tea polyphenols and caffeine from iron oxide chitosan nanoparticles.,,,2026
"The bioavailability of EGCG, epicatechin, catechin, gallic acid and theaflavin was improved by approximately 8.5-, 6.5-, 4.8-, 5- and 3.5- fold respectively when delivered using GTPP-IOCHNP as a carrier.",0.764,0.550,,PMID_41559215_GLM1,0.550,record:PMID_41559215_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,iron oxide chitosan nanoparticle encapsulation,,mechanism:iron_oxide_chitosan_nanoparticle_encapsulation,Mechanism,,,,
,,,Journal of biomaterials applications,PMID_41554089,,paper:PMID_41554089,Paper,Green-synthesized silver-alginate-ciprofloxacin hydrogel: A multifaceted therapeutic for enhanced diabetic and burn Wound healing.,,,2026
"AgSACip significantly accelerates wound healing compared to AgNPs and ciprofloxacin alone, particularly in diabetic and burn wounds.",0.820,0.750,,PMID_41554089_GLM1,0.550,record:PMID_41554089_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,silver nanoparticle synthesis,,mechanism:silver_nanoparticle_synthesis,Mechanism,,,,
,,,,antibacterial activity,,mechanism:antibacterial_activity,Mechanism,,,,
Wound healing is a complex physiological process involving coordinated phases of inflammation...,0.566,0.750,,PMID_41554089_GLM3,0.000,record:PMID_41554089_GLM3,EvidenceRecord,,high_uncertainty,generic_mechanism; low_llm_confidence; preclinical_only; uncertain_effect_direction,
